ward	282.89	271.54	231.7	101.41	64.06	27.24	8.4	12.11	41.03	94.71	214.85	231.46	1581.4
ward	3.97	5.1	7.02	9.89	14.64	19.77	24.61	24.37	20.72	14.55	7.95	4.49	13.11
ward	-7.38	-6.89	-5.66	-4.01	-0.52	3.05	6.28	6.1	3.18	-0.37	-4.11	-6.91	-1.44
WEPP_ID	Precip_mm	Tmax_C	Tmin_C	elev_m	frac_canopy_cover	Management							
11	-7.89	-7.31	-5.39	-3.38	0.01	3.17	6.02	5.56	2.79	-0.99	-4.43	-7.44	-1.61
12	1030.98	14.09	-1.53	1942.18	0.772701	hermada_19.man							
12	181.34	174.18	149.3	67	40.72	22.62	8.57	12.73	26.9	60.85	139.53	147.24	1030.98
12	4.49	5.56	7.59	10.78	15.86	21.06	25.91	25.53	21.77	15.53	9.04	5.38	14.05
12	-7.89	-7.31	-5.39	-3.38	0.01	3.17	6.02	5.56	2.79	-0.99	-4.43	-7.44	-1.61
13	1030.98	14.09	-1.53	1966.88	0.773226	hermada_1.man							
13	181.90422	174.76666	149.84315	67.156489	40.877896	22.665615	8.5749121	12.73772	27.001052	61.078071	139.82824	147.7593	1034.1934
13	4.4036841	5.5164911	7.5492981	10.678948	15.731578	20.928071	25.78158	25.403684	21.653508	15.405088	8.9235089	5.268421	13.94614
13	-7.8773682	-7.3078949	-5.455965	-3.4529825	-0.058070173	3.1391229	6.0277191	5.5866669	2.810351	-0.96263161	-4.4342105	-7.4273682	-1.6205263
14	1030.98	14.09	-1.53	1999.37	0.780435	hermada_1.man							
14	185.18521	178.17826	153.00174	68.066523	41.796089	22.930869	8.6034784	12.782609	27.588696	62.404346	141.56261	150.77913	1052.8795
14	3.9017392	5.2634784	7.3126086	10.091304	14.984783	20.160869	25.034783	24.669131	20.976086	14.678695	8.246087	4.6195651	13.342174
14	-7.803913	-7.2956525	-5.8395654	-3.8773914	-0.45391304	2.9595651	6.0726086	5.7417389	2.9286957	-0.80347824	-4.4586957	-7.353913	-1.6817392
15	1066.79	13.0187	-1.77242	2112.67	0.72208	hermada_19.man							
15	189.28215	182.43826	156.9458	69.202861	42.942617	23.26209	8.6391479	12.838661	28.322476	64.060444	143.72827	154.54994	1076.2127
15	3.2749695	4.9475458	7.0170587	9.3575256	14.052272	19.202881	24.102273	23.751907	20.130203	13.771664	7.4002026	3.8093509	12.588013
15	-7.7121906	-7.280365	-6.3185596	-4.4073428	-0.94819473	2.7353549	6.1286615	5.9353754	3.0764706	-0.60474644	-4.4892697	-7.2621906	-1.7581744
16	1045.83	13.6458	-1.63051	2014.24	0.715664	hermada_17.man							
16	183.8027	176.74072	151.67081	67.683062	41.409189	22.819099	8.5914417	12.763694	27.341082	61.845493	140.83181	149.50667	1045.0058
16	4.1132431	5.3700903	7.4123425	10.338918	15.299459	20.484143	25.34946	24.978647	21.261531	14.984774	8.5315314	4.892973	13.596666
16	-7.8348651	-7.3008105	-5.6779279	-3.6985587	-0.28711712	3.0352252	6.0536938	5.6763965	2.8788287	-0.87054054	-4.4483783	-7.3848651	-1.6559459
17	1052.04	13.4598	-1.67261	2057.76	0.71211	hermada_19.man							
17	186.11275	179.14271	153.89466	68.323784	42.055659	23.005857	8.611554	12.795299	27.754822	62.779282	142.05291	151.63283	1058.1621
17	3.7598407	5.1919519	7.245697	9.9251794	14.773666	19.943984	24.823665	24.461475	20.784583	14.473347	8.0545819	4.4361356	13.171434
17	-7.7831476	-7.2921912	-5.9480078	-3.9973706	-0.56581673	2.9088049	6.0852991	5.7855774	2.9621515	-0.75848602	-4.4656177	-7.3331476	-1.6990439
18	1052.83	13.4363	-1.67791	2063.54	0.674451	hermada_19.man							
18	186.73492	179.78965	154.49361	68.496353	42.229771	23.056157	8.6169708	12.803811	27.866255	63.030781	142.38179	152.20547	1061.7055
18	3.6646579	5.143974	7.2008142	9.8137457	14.632052	19.798502	24.682053	24.322183	20.656123	14.335603	7.9261237	4.3130945	13.056906
18	-7.7692181	-7.28987	-6.0207489	-4.07785	-0.64087952	2.8747556	6.093811	5.8149835	2.9845929	-0.7283062	-4.4702606	-7.3192181	-1.7106514
19	1055.18	13.4366	-1.78	1935.89	0.646632	hermada_19.man							
19	182.78615	175.54582	150.52521	67.662822	41.087563	22.712393	8.5559399	12.711923	27.084785	61.370215	140.94	148.55359	1039.5364
19	4.2891452	5.4113678	7.409231	10.496794	15.488419	20.682393	25.534402	25.166453	21.434573	15.202607	8.7447437	5.1028204	13.758761
19	-7.8679059	-7.31	-5.5547009	-3.6089743	-0.19487179	3.0233762	5.9597437	5.5559827	2.7699146	-0.945812	-4.4561111	-7.4199146	-1.6742735
20	1039.81	13.8257	-1.5898	1975.4	0.681751	hermada_17.man							
20	183.55248	176.48055	151.42992	67.613662	41.339165	22.79887	8.5892627	12.76027	27.296265	61.744351	140.69953	149.27637	1043.5807
20	4.1515234	5.389386	7.4303931	10.383734	15.356412	20.542654	25.406414	25.034668	21.313193	15.040172	8.583194	4.942457	13.642727
20	-7.8404669	-7.3017444	-5.6486731	-3.6661917	-0.25692875	3.0489191	6.0502704	5.6645703	2.8698035	-0.88267815	-4.4465109	-7.3904669	-1.6512776
21	1040.95	13.7918	-1.59747	1983.24	0.713457	hermada_19.man							
21	193.13918	186.03068	160.16696	71.290527	43.904966	23.386277	8.4756494	12.758613	28.77613	65.489243	148.84349	158.162	1100.4238
