topaz	"ID,"	WEPP	"ID,"	area	(cells)
1812	425	35			
1821	426	111			
1823	427	6			
1832	428	134			
1842	429	30			
1843	430	73			
1851	431	173			
1852	432	335			
1853	433	303			
1862	434	19			
1863	435	123			
1872	436	8			
1881	437	117			
1882	438	60			
1883	439	65			
1892	440	128			
1893	441	115			
1902	442	331			
1903	443	190			
1921	444	123			
1923	445	46			
1922	446	67			
1942	447	63			
1943	448	56			
1951	449	153			
1952	450	9			
1953	451	9			
1962	452	24			
1963	453	13			
1972	454	47			
1973	455	29			
1982	456	148			
1983	457	50			
1991	458	115			
1992	459	291			
1993	460	182			
2001	461	113			
2002	462	18			
2003	463	22			
2012	464	242			
2011	465	113			
2013	466	174			
2021	467	116			
2022	468	14			
2023	469	18			
2031	470	111			
2032	471	22			
2033	472	63			
2042	473	153			
2043	474	158			
2051	475	113			
2052	476	142			
2053	477	104			
2063	478	17			
2062	479	2			
2072	480	150			
2073	481	282			
2081	482	115			
2082	483	104			
2083	484	144			
2092	485	260			
2093	486	531			
2102	487	292			
2103	488	71			
2113	489	25			
2112	490	55			
2121	491	119			
2123	492	18			
2122	493	26			
2132	494	165			
2133	495	93			
2141	496	113			
2143	497	30			
2142	498	46			
2152	499	9			
2153	500	67			
2162	501	172			
2163	502	130			
2171	503	156			
2172	504	77			
2173	505	34			
2181	506	117			
2182	507	45			
2183	508	66			
2191	509	123			
2192	510	20			
2193	511	46			
2202	512	135			
2203	513	241			
2212	514	145			
2213	515	60			
2222	516	122			
2223	517	134			
2232	518	175			
2233	519	38			
2241	520	111			
2242	521	104			
2243	522	173			
2252	523	197			
2253	524	280			
2261	525	111			
2263	526	47			
2262	527	84			
2272	528	4			
2273	529	18			
2291	530	136			
2293	531	193			
2292	532	81			
2301	533	124			
2302	534	16			
2303	535	4			
2312	536	81			
2313	537	133			
2311	538	115			
2321	539	209			
2323	540	3			
2332	541	87			
2333	542	236			
2341	543	123			
2342	544	117			
2343	545	81			
2352	546	115			
2353	547	37			
2362	548	128			
2363	549	18			
2372	550	27			
2373	551	26			
2381	552	114			
2383	553	160			
2382	554	50			
2392	555	33			
2393	556	22			
2402	557	3			
2403	558	2			
2411	559	117			
2412	560	57			
2413	561	27			
2423	562	5			
2431	563	117			
2432	564	78			
2433	565	12			
2441	566	113			
2442	567	29			
2443	568	127			
2453	569	45			
2452	570	61			
2451	571	150			
2462	572	7			
2463	573	14			
2461	574	113			
2473	575	44			
2472	576	27			
2471	577	124			
2481	578	119			
2482	579	9			
2483	580	13			
2492	581	45			
2493	582	7			
2502	583	119			
2503	584	50			
2512	585	203			
2511	586	111			
2513	587	150			
2521	588	114			
2522	589	26			
2523	590	42			
2532	591	139			
2533	592	392			
2542	593	134			
2543	594	98			
2551	595	115			
2552	596	70			
2553	597	273			
2562	598	25			
2563	599	27			
2572	600	24			
2573	601	3			
2581	602	114			
2583	603	124			
2582	604	58			
2592	605	195			
2593	606	279			
2601	607	111			
2602	608	65			
2603	609	24			
2612	610	182			
2613	611	52			
2611	612	194			
2622	613	53			
2623	614	93			
2632	615	137			
2633	616	25			
2631	617	113			
2643	618	38			
2642	619	15			
2641	620	121			
2652	621	294			
2653	622	205			
2651	623	115			
2663	624	2			
2661	625	119			
2662	626	1			
2672	627	56			
2673	628	182			
2681	629	136			
2682	630	10			
2683	631	5			
2692	632	338			
2693	633	430			
2712	634	57			
2713	635	39			
2722	636	109			
2721	637	119			
2723	638	48			
2732	639	197			
2733	640	117			
2742	641	106			
2743	642	70			
2751	643	130			
2752	644	24			
2753	645	10			
2762	646	19			
2763	647	120			
2771	648	112			
2772	649	102			
2773	650	25			
2782	651	122			
2783	652	85			
2791	653	115			
2792	654	59			
2793	655	136			
2803	656	11			
2813	657	13			
2822	658	41			
2823	659	41			
2831	660	120			
2832	661	116			
2833	662	59			
2841	663	118			
2842	664	42			
2843	665	114			
2852	666	6			
2853	667	17			
2862	668	171			
2863	669	199			
2872	670	25			
2873	671	2			
2882	672	159			
2883	673	106			
2891	674	112			
2892	675	80			
2893	676	78			
2901	677	121			
2902	678	12			
2903	679	38			
2921	680	111			
2922	681	99			
2923	682	90			
2932	683	5			
2933	684	1			
2943	685	13			
2951	686	112			
2952	687	34			
2953	688	36			
2962	689	7			
2963	690	6			
2971	691	145			
2972	692	62			
2973	693	91			
2982	694	55			
2983	695	28			
2992	696	55			
2993	697	59			
3001	698	117			
3003	699	31			
3002	700	23			
3011	701	176			
3012	702	119			
3013	703	58			
3022	704	40			
3023	705	40			
3031	706	119			
3032	707	51			
3033	708	76			
3042	709	149			
3043	710	165			
3052	711	9			
3053	712	24			
3071	713	155			
3072	714	24			
3073	715	16			
3082	716	38			
3083	717	6			
3092	718	163			
3093	719	122			
3102	720	9			
3103	721	2			
3111	722	111			
3113	723	142			
3112	724	220			
3122	725	44			
3123	726	13			
3132	727	174			
3133	728	214			
3143	729	352			
3142	730	221			
3151	731	129			
3153	732	10			
3152	733	10			
3162	734	153			
3161	735	112			
3163	736	41			
3172	737	66			
3173	738	16			
3182	739	1			
3183	740	6			
3192	741	15			
3193	742	20			
3201	743	116			
3203	744	147			
3202	745	109			
3212	746	108			
3213	747	28			
3221	748	113			
3223	749	51			
3222	750	73			
3232	751	79			
3233	752	143			
3242	753	218			
3243	754	163			
3253	755	22			
3252	756	32			
3263	757	4			
3262	758	2			
3271	759	115			
3273	760	11			
3272	761	72			
3281	762	123			
3282	763	316			
3283	764	129			
3291	765	123			
3292	766	20			
3293	767	16			
3301	768	117			
3302	769	42			
3303	770	62			
3312	771	27			
3313	772	38			
3322	773	286			
3323	774	290			
3331	775	113			
3332	776	98			
3333	777	53			
3341	778	156			
3343	779	145			
3342	780	38			
3353	781	5			
3361	782	114			
3362	783	9			
3363	784	10			
3372	785	48			
3373	786	215			
3382	787	531			
3383	788	435			
3391	789	121			
3393	790	112			
3392	791	18			
3401	792	121			
3402	793	34			
3403	794	49			
3413	795	16			
3412	796	3			
3422	797	36			
3423	798	20			
3432	799	134			
3433	800	120			
3442	801	239			
3443	802	251			
3452	803	6			
3453	804	10			
3461	805	123			
3463	806	14			
3462	807	40			
3471	808	117			
3472	809	8			
3473	810	25			
3482	811	3			
3483	812	7			
3492	813	31			
3493	814	119			
3501	815	112			
3503	816	163			
3502	817	206			
3512	818	175			
3513	819	170			
3522	820	261			
3521	821	124			
3523	822	187			
3532	823	63			
3533	824	114			
3531	825	121			
3542	826	53			
3543	827	79			
3541	828	114			
3551	829	143			
3552	830	48			
3553	831	121			
3562	832	306			
3563	833	169			
3572	834	53			
3573	835	12			
3581	836	114			
3582	837	31			
3583	838	6			
3592	839	111			
3593	840	176			
3602	841	362			
3603	842	147			
3612	843	3			
3621	844	140			
3623	845	117			
3622	846	167			
3632	847	83			
3633	848	32			
3642	849	32			
3643	850	35			
3651	851	130			
3652	852	66			
3653	853	76			
3661	854	121			
3662	855	19			
3663	856	67			
3672	857	7			
3673	858	16			
3671	859	115			
3682	860	7			
3681	861	153			
3683	862	10			
3692	863	15			
3693	864	123			
3702	865	32			
3703	866	69			
3712	867	214			
3711	868	121			
3713	869	108			
3721	870	111			
3722	871	25			
3723	872	41			
3732	873	90			
3733	874	81			
3742	875	132			
3743	876	81			
3752	877	41			
3753	878	38			
3761	879	112			
3762	880	234			
3763	881	259			
3772	882	58			
3773	883	24			
3782	884	16			
3783	885	28			
3791	886	113			
3792	887	235			
3793	888	214			
3802	889	26			
3803	890	17			
3812	891	81			
3813	892	60			
3811	893	129			
3823	894	153			
3822	895	166			
3821	896	111			
3833	897	284			
3832	898	250			
3831	899	116			
3843	900	30			
3842	901	86			
3841	902	112			
3853	903	14			
3852	904	72			
3863	905	506			
3862	906	281			
3861	907	118			
3873	908	28			
3871	909	113			
3872	910	7			
3882	911	75			
3883	912	61			
3893	913	34			
3892	914	61			
3891	915	115			
3903	916	140			
3902	917	12			
3912	918	54			
3913	919	25			
3922	920	25			
3921	921	120			
3923	922	23			
3933	923	85			
3932	924	250			
3942	925	22			
3941	926	127			
3943	927	72			
3953	928	73			
3952	929	46			
3951	930	123			
3963	931	35			
3962	932	65			
3973	933	18			
3972	934	15			
3982	935	138			
3983	936	50			
3981	937	141			
3993	938	5			
3992	939	4			
4003	940	115			
4002	941	276			
4001	942	117			
4011	943	139			
4013	944	13			
4012	945	2			
4023	946	124			
4021	947	139			
4022	948	32			
4033	949	14			
4032	950	2			
4042	951	113			
4043	952	35			
4041	953	111			
4053	954	44			
4052	955	93			
4051	956	112			
4061	957	112			
4062	958	20			
4063	959	75			
4072	960	81			
4073	961	114			
4082	962	185			
4081	963	112			
4083	964	161			
4093	965	9			
4092	966	10			
4102	967	132			
4103	968	145			
4101	969	118			
4113	970	181			
4112	971	168			
4111	972	170			
4123	973	2			
4132	974	60			
4133	975	136			
4131	976	113			
4143	977	67			
4142	978	22			
4141	979	163			
4152	980	38			
4153	981	1			
4151	982	121			
4163	983	84			
4162	984	14			
4161	985	115			
4172	986	54			
4173	987	19			
4171	988	172			
4183	989	119			
4182	990	172			
4181	991	192			
4193	992	88			
4192	993	50			
4191	994	152			
4203	995	180			
4202	996	41			
4213	997	62			
4212	998	190			
4211	999	113			
4223	1000	89			
4222	1001	20			
4221	1002	112			
4232	1003	17			
4233	1004	22			
4231	1005	114			
4243	1006	39			
4242	1007	28			
4241	1008	168			
4252	1009	1			
4253	1010	1			
4263	1011	40			
4262	1012	3			
4261	1013	112			
4272	1014	40			
4273	1015	65			
