Topaz_ID	 WEPP_ID	 OFEs	 Area_cells	Soil_File	Management_File	Slope_file
272	59	4	212	soil/2651360_4.sl	man/ww_barley_fallow_Int_Precip_mt_4.man	slope/H59.slp
273	60	7	328	soil/2651360_7.sl	man/ww_barley_fallow_Int_Precip_mt_7.man	slope/H60.slp
281	61	11	114	soil/2651360_11.sl	man/ww_barley_fallow_Int_Precip_mt_11.man	slope/H61.slp
283	62	1	56	soil/2651360_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H62.slp
282	63	2	72	soil/2651360_2.sl	man/ww_barley_fallow_Int_Precip_mt_2.man	slope/H63.slp
292	64	3	66	soil/2651360_3.sl	man/ww_barley_fallow_Int_Precip_mt_3.man	slope/H64.slp
293	65	8	137	soil/2651360_8.sl	man/ww_barley_fallow_Int_Precip_mt_8.man	slope/H65.slp
302	66	4	55	soil/2651360_4.sl	man/ww_barley_fallow_Int_Precip_mt_4.man	slope/H66.slp
303	67	1	29	soil/2651360_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H67.slp
311	68	9	116	soil/2651360_9.sl	man/ww_barley_fallow_Int_Precip_mt_9.man	slope/H68.slp
312	69	3	69	soil/2651360_3.sl	man/ww_barley_fallow_Int_Precip_mt_3.man	slope/H69.slp
313	70	2	52	soil/2651360_2.sl	man/ww_barley_fallow_Int_Precip_mt_2.man	slope/H70.slp
322	71	7	147	soil/2651360_7.sl	man/ww_barley_fallow_Int_Precip_mt_7.man	slope/H71.slp
323	72	3	77	soil/2651360_3.sl	man/ww_barley_fallow_Int_Precip_mt_3.man	slope/H72.slp
331	73	10	122	soil/2651360_10.sl	man/ww_barley_fallow_Int_Precip_mt_10.man	slope/H73.slp
332	74	2	46	soil/2651360_2.sl	man/ww_barley_fallow_Int_Precip_mt_2.man	slope/H74.slp
333	75	3	48	soil/2651360_3.sl	man/ww_barley_fallow_Int_Precip_mt_3.man	slope/H75.slp
341	76	10	122	soil/2651360_10.sl	man/ww_barley_fallow_Int_Precip_mt_10.man	slope/H76.slp
342	77	1	21	soil/2651360_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H77.slp
343	78	3	50	soil/2651360_3.sl	man/ww_barley_fallow_Int_Precip_mt_3.man	slope/H78.slp
351	79	10	127	soil/2651360_10.sl	man/ww_barley_fallow_Int_Precip_mt_10.man	slope/H79.slp
352	80	1	27	soil/2651360_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H80.slp
353	81	3	64	soil/2651360_3.sl	man/ww_barley_fallow_Int_Precip_mt_3.man	slope/H81.slp
363	82	9	129	soil/2651360_9.sl	man/ww_barley_fallow_Int_Precip_mt_9.man	slope/H82.slp
362	83	3	54	soil/2651360_3.sl	man/ww_barley_fallow_Int_Precip_mt_3.man	slope/H83.slp
372	84	13	150	soil/2651360_13.sl	man/ww_barley_fallow_Int_Precip_mt_13.man	slope/H84.slp
373	85	13	145	soil/2651360_13.sl	man/ww_barley_fallow_Int_Precip_mt_13.man	slope/H85.slp
382	86	1	39	soil/2651360_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H86.slp
381	87	12	113	soil/2651360_12.sl	man/ww_barley_fallow_Int_Precip_mt_12.man	slope/H87.slp
383	88	1	39	soil/2651360_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H88.slp
392	89	6	110	soil/2651360_6.sl	man/ww_barley_fallow_Int_Precip_mt_6.man	slope/H89.slp
393	90	10	166	soil/2651360_10.sl	man/ww_barley_fallow_Int_Precip_mt_10.man	slope/H90.slp
403	91	1	2	soil/2651360_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H91.slp
411	92	16	130	soil/2651360_16.sl	man/ww_barley_fallow_Int_Precip_mt_16.man	slope/H92.slp
412	93	9	54	soil/2651360_9.sl	man/ww_barley_fallow_Int_Precip_mt_9.man	slope/H93.slp
413	94	1	6	soil/2651360_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H94.slp
422	95	13	82	soil/2651360_13.sl	man/ww_barley_fallow_Int_Precip_mt_13.man	slope/H95.slp
423	96	1	8	soil/2651360_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H96.slp
432	97	4	44	soil/2651360_4.sl	man/ww_barley_fallow_Int_Precip_mt_4.man	slope/H97.slp
433	98	5	59	soil/2651360_5.sl	man/ww_barley_fallow_Int_Precip_mt_5.man	slope/H98.slp
442	99	4	73	soil/2651360_4.sl	man/ww_barley_fallow_Int_Precip_mt_4.man	slope/H99.slp
