area_ha,hillslope,CT_t_ha1,MT_t_ha1,NT_t_ha1,grass_t_ha1,area_cum_ha,int,log_area_cum,log_int,erosion_ct_ton,sum_ct_erosion_ton,erosion_int
12.06,1050,0.07,0.004,0.002,0.001,9512.37,"(8.37e+03,1.05e+04]",9.16034833584791,"(7.74,9.26]",0.8442,38956.62825,"(3.12e+04,3.9e+04]"
38.43,333,0.066,0.006,0.003,0.001,9550.8,"(8.37e+03,1.05e+04]",9.1643801995998,"(7.74,9.26]",2.53638,38959.16463,"(3.12e+04,3.9e+04]"
3.06,687,0.066,0.002,0.005,0.001,9553.86,"(8.37e+03,1.05e+04]",9.16470054029429,"(7.74,9.26]",0.20196,38959.36659,"(3.12e+04,3.9e+04]"
17.37,531,0.064,0.006,0.003,0.001,9571.23,"(8.37e+03,1.05e+04]",9.16651700283393,"(7.74,9.26]",1.11168,38960.47827,"(3.12e+04,3.9e+04]"
10.35,940,0.063,0.004,0.004,0.001,9581.58,"(8.37e+03,1.05e+04]",9.16759778429706,"(7.74,9.26]",0.65205,38961.13032,"(3.12e+04,3.9e+04]"
2.79,1150,0.061,0.004,0.002,0.001,9584.37,"(8.37e+03,1.05e+04]",9.16788892562005,"(7.74,9.26]",0.17019,38961.30051,"(3.12e+04,3.9e+04]"
2.34,551,0.061,0.006,0.003,0.001,9586.71,"(8.37e+03,1.05e+04]",9.16813304332356,"(7.74,9.26]",0.14274,38961.44325,"(3.12e+04,3.9e+04]"
2.61,567,0.06,0.004,0.003,0.001,9589.32,"(8.37e+03,1.05e+04]",9.16840525816846,"(7.74,9.26]",0.1566,38961.59985,"(3.12e+04,3.9e+04]"
13.23,419,0.059,0.003,0.002,0.001,9602.55,"(8.37e+03,1.05e+04]",9.16978396718385,"(7.74,9.26]",0.78057,38962.38042,"(3.12e+04,3.9e+04]"
1.35,619,0.058,0.005,0.003,0.001,9603.9,"(8.37e+03,1.05e+04]",9.16992454495874,"(7.74,9.26]",0.0783,38962.45872,"(3.12e+04,3.9e+04]"
3.69,659,0.056,0.007,0.002,0.001,9607.59,"(8.37e+03,1.05e+04]",9.17030869007662,"(7.74,9.26]",0.20664,38962.66536,"(3.12e+04,3.9e+04]"
6.84,290,0.055,0.002,0.001,0,9614.43,"(8.37e+03,1.05e+04]",9.17102037389432,"(7.74,9.26]",0.3762,38963.04156,"(3.12e+04,3.9e+04]"
4.86,1182,0.053,0.005,0.002,0.001,9619.29,"(8.37e+03,1.05e+04]",9.17152573636226,"(7.74,9.26]",0.25758,38963.29914,"(3.12e+04,3.9e+04]"
0.81,450,0.052,0.006,0.002,0.001,9620.1,"(8.37e+03,1.05e+04]",9.17160993861612,"(7.74,9.26]",0.04212,38963.34126,"(3.12e+04,3.9e+04]"
4.5,335,0.051,0.008,0.003,0.001,9624.6,"(8.37e+03,1.05e+04]",9.17207759985085,"(7.74,9.26]",0.2295,38963.57076,"(3.12e+04,3.9e+04]"
0.9,732,0.051,0.005,0.003,0.001,9625.5,"(8.37e+03,1.05e+04]",9.17217110585868,"(7.74,9.26]",0.0459,38963.61666,"(3.12e+04,3.9e+04]"
45.36,342,0.05,0.005,0.002,0.001,9670.86,"(8.37e+03,1.05e+04]",9.17687251934292,"(7.74,9.26]",2.268,38965.88466,"(3.12e+04,3.9e+04]"
8.91,681,0.049,0.002,0.005,0.001,9679.77,"(8.37e+03,1.05e+04]",9.17779341965776,"(7.74,9.26]",0.43659,38966.32125,"(3.12e+04,3.9e+04]"
0.81,965,0.048,0.005,0.006,0.001,9680.58,"(8.37e+03,1.05e+04]",9.17787709583102,"(7.74,9.26]",0.03888,38966.36013,"(3.12e+04,3.9e+04]"
7.47,36,0.047,0.003,0.001,0.002,9688.05,"(8.37e+03,1.05e+04]",9.17864844624356,"(7.74,9.26]",0.35109,38966.71122,"(3.12e+04,3.9e+04]"
6.57,928,0.045,0.003,0.003,0.001,9694.62,"(8.37e+03,1.05e+04]",9.17932637144701,"(7.74,9.26]",0.29565,38967.00687,"(3.12e+04,3.9e+04]"
2.61,67,0.042,0.004,0.002,0.001,9697.23,"(8.37e+03,1.05e+04]",9.17959555669914,"(7.74,9.26]",0.10962,38967.11649,"(3.12e+04,3.9e+04]"
4.77,834,0.041,0.004,0.003,0.001,9702,"(8.37e+03,1.05e+04]",9.18008732880516,"(7.74,9.26]",0.19557,38967.31206,"(3.12e+04,3.9e+04]"
25.29,906,0.04,0.006,0.003,0.001,9727.29,"(8.37e+03,1.05e+04]",9.18269061634503,"(7.74,9.26]",1.0116,38968.32366,"(3.12e+04,3.9e+04]"
14.13,381,0.038,0.002,0.002,0.001,9741.42,"(8.37e+03,1.05e+04]",9.18414217656458,"(7.74,9.26]",0.53694,38968.8606,"(3.12e+04,3.9e+04]"
4.5,1061,0.037,0.006,0.002,0.001,9745.92,"(8.37e+03,1.05e+04]",9.18460401487397,"(7.74,9.26]",0.1665,38969.0271,"(3.12e+04,3.9e+04]"
2.88,1141,0.037,0.003,0.002,0.001,9748.8,"(8.37e+03,1.05e+04]",9.18489947949423,"(7.74,9.26]",0.10656,38969.13366,"(3.12e+04,3.9e+04]"
0.72,160,0.037,0.003,0.004,0.002,9749.52,"(8.37e+03,1.05e+04]",9.18497333201079,"(7.74,9.26]",0.02664,38969.1603,"(3.12e+04,3.9e+04]"
4.32,232,0.037,0.003,0.002,0.001,9753.84,"(8.37e+03,1.05e+04]",9.1854163326087,"(7.74,9.26]",0.15984,38969.32014,"(3.12e+04,3.9e+04]"
3.78,372,0.036,0.007,0.003,0.001,9757.62,"(8.37e+03,1.05e+04]",9.18580379721128,"(7.74,9.26]",0.13608,38969.45622,"(3.12e+04,3.9e+04]"
1.08,678,0.036,0.001,0.005,0.001,9758.7,"(8.37e+03,1.05e+04]",9.18591447381436,"(7.74,9.26]",0.03888,38969.4951,"(3.12e+04,3.9e+04]"
1.62,394,0.035,0.006,0.003,0.001,9760.32,"(8.37e+03,1.05e+04]",9.18608046575491,"(7.74,9.26]",0.0567,38969.5518,"(3.12e+04,3.9e+04]"
0.45,1031,0.033,0.005,0.003,0.001,9760.77,"(8.37e+03,1.05e+04]",9.18612656973784,"(7.74,9.26]",0.01485,38969.56665,"(3.12e+04,3.9e+04]"
1.35,1198,0.033,0.003,0.002,0.001,9762.12,"(8.37e+03,1.05e+04]",9.18626486893454,"(7.74,9.26]",0.04455,38969.6112,"(3.12e+04,3.9e+04]"
5.49,30,0.033,0.003,0.002,0.001,9767.61,"(8.37e+03,1.05e+04]",9.18682708870354,"(7.74,9.26]",0.18117,38969.79237,"(3.12e+04,3.9e+04]"
2.88,361,0.033,0.006,0.003,0.001,9770.49,"(8.37e+03,1.05e+04]",9.1871218973104,"(7.74,9.26]",0.09504,38969.88741,"(3.12e+04,3.9e+04]"
1.44,795,0.033,0.007,0.003,0.001,9771.93,"(8.37e+03,1.05e+04]",9.18726926902819,"(7.74,9.26]",0.04752,38969.93493,"(3.12e+04,3.9e+04]"
0.9,966,0.033,0.005,0.006,0.001,9772.83,"(8.37e+03,1.05e+04]",9.18736136532414,"(7.74,9.26]",0.0297,38969.96463,"(3.12e+04,3.9e+04]"
1.62,791,0.032,0.005,0.003,0.001,9774.45,"(8.37e+03,1.05e+04]",9.18752711728592,"(7.74,9.26]",0.05184,38970.01647,"(3.12e+04,3.9e+04]"
4.77,140,0.031,0.003,0.002,0.001,9779.22,"(8.37e+03,1.05e+04]",9.18801500524707,"(7.74,9.26]",0.14787,38970.16434,"(3.12e+04,3.9e+04]"
0.99,760,0.031,0.01,0.012,0.001,9780.21,"(8.37e+03,1.05e+04]",9.18811623519097,"(7.74,9.26]",0.03069,38970.19503,"(3.12e+04,3.9e+04]"
2.7,900,0.031,0.007,0.003,0.001,9782.91,"(8.37e+03,1.05e+04]",9.1883922647831,"(7.74,9.26]",0.0837,38970.27873,"(3.12e+04,3.9e+04]"
1.17,657,0.03,0.007,0.003,0.001,9784.08,"(8.37e+03,1.05e+04]",9.18851185394846,"(7.74,9.26]",0.0351,38970.31383,"(3.12e+04,3.9e+04]"
0.9,1079,0.029,0.003,0.002,0.001,9784.98,"(8.37e+03,1.05e+04]",9.18860383588327,"(7.74,9.26]",0.0261,38970.33993,"(3.12e+04,3.9e+04]"
0.72,1109,0.029,0.003,0.002,0.001,9785.7,"(8.37e+03,1.05e+04]",9.18867741533992,"(7.74,9.26]",0.02088,38970.36081,"(3.12e+04,3.9e+04]"
12.6,49,0.029,0.004,0.002,0.001,9798.3,"(8.37e+03,1.05e+04]",9.18996418022335,"(7.74,9.26]",0.3654,38970.72621,"(3.12e+04,3.9e+04]"
8.82,594,0.029,0.005,0.002,0.001,9807.12,"(8.37e+03,1.05e+04]",9.19086393147531,"(7.74,9.26]",0.25578,38970.98199,"(3.12e+04,3.9e+04]"
0.18,91,0.029,0.005,0.002,0.001,9807.3,"(8.37e+03,1.05e+04]",9.19088228531906,"(7.74,9.26]",0.00522,38970.98721,"(3.12e+04,3.9e+04]"
5.85,932,0.029,0.004,0.003,0.001,9813.15,"(8.37e+03,1.05e+04]",9.19147860193497,"(7.74,9.26]",0.16965,38971.15686,"(3.12e+04,3.9e+04]"
3.33,163,0.028,0.003,0.003,0.001,9816.48,"(8.37e+03,1.05e+04]",9.19181788495069,"(7.74,9.26]",0.09324,38971.2501,"(3.12e+04,3.9e+04]"
1.53,890,0.028,0.006,0.003,0.001,9818.01,"(8.37e+03,1.05e+04]",9.19197373315486,"(7.74,9.26]",0.04284,38971.29294,"(3.12e+04,3.9e+04]"
16.29,970,0.027,0.003,0.003,0.001,9834.3,"(8.37e+03,1.05e+04]",9.19363155391292,"(7.74,9.26]",0.43983,38971.73277,"(3.12e+04,3.9e+04]"
1.89,56,0.026,0.005,0.003,0.001,9836.19,"(8.37e+03,1.05e+04]",9.19382371994496,"(7.74,9.26]",0.04914,38971.78191,"(3.12e+04,3.9e+04]"
5.04,62,0.026,0.004,0.002,0.001,9841.23,"(8.37e+03,1.05e+04]",9.19433598223445,"(7.74,9.26]",0.13104,38971.91295,"(3.12e+04,3.9e+04]"
5.22,882,0.026,0.004,0.003,0.001,9846.45,"(8.37e+03,1.05e+04]",9.19486626311288,"(7.74,9.26]",0.13572,38972.04867,"(3.12e+04,3.9e+04]"
3.87,1122,0.023,0.003,0.002,0.001,9850.32,"(8.37e+03,1.05e+04]",9.19525922094808,"(7.74,9.26]",0.08901,38972.13768,"(3.12e+04,3.9e+04]"
0.27,223,0.023,0.006,0.002,0.001,9850.59,"(8.37e+03,1.05e+04]",9.19528663084945,"(7.74,9.26]",0.00621,38972.14389,"(3.12e+04,3.9e+04]"
2.43,561,0.023,0.008,0.003,0.001,9853.02,"(8.37e+03,1.05e+04]",9.19553328615904,"(7.74,9.26]",0.05589,38972.19978,"(3.12e+04,3.9e+04]"
2.43,599,0.023,0.007,0.003,0.001,9855.45,"(8.37e+03,1.05e+04]",9.1957798806448,"(7.74,9.26]",0.05589,38972.25567,"(3.12e+04,3.9e+04]"
2.88,848,0.023,0.007,0.006,0.001,9858.33,"(8.37e+03,1.05e+04]",9.19607206205501,"(7.74,9.26]",0.06624,38972.32191,"(3.12e+04,3.9e+04]"
5.85,318,0.022,0.006,0.002,0.001,9864.18,"(8.37e+03,1.05e+04]",9.19666529285287,"(7.74,9.26]",0.1287,38972.45061,"(3.12e+04,3.9e+04]"
11.16,821,0.021,0.006,0.003,0.001,9875.34,"(8.37e+03,1.05e+04]",9.19779601955636,"(7.74,9.26]",0.23436,38972.68497,"(3.12e+04,3.9e+04]"
3.78,138,0.02,0.005,0.002,0.001,9879.12,"(8.37e+03,1.05e+04]",9.19817871794914,"(7.74,9.26]",0.0756,38972.76057,"(3.12e+04,3.9e+04]"
5.94,350,0.02,0.006,0.003,0.001,9885.06,"(8.37e+03,1.05e+04]",9.19877980538903,"(7.74,9.26]",0.1188,38972.87937,"(3.12e+04,3.9e+04]"
6.21,175,0.019,0.003,0.003,0.001,9891.27,"(8.37e+03,1.05e+04]",9.19940782891049,"(7.74,9.26]",0.11799,38972.99736,"(3.12e+04,3.9e+04]"
0.72,184,0.019,0.004,0.004,0.002,9891.99,"(8.37e+03,1.05e+04]",9.19948061772288,"(7.74,9.26]",0.01368,38973.01104,"(3.12e+04,3.9e+04]"
12.51,386,0.019,0.005,0.002,0.001,9904.5,"(8.37e+03,1.05e+04]",9.20074447830274,"(7.74,9.26]",0.23769,38973.24873,"(3.12e+04,3.9e+04]"
1.71,855,0.019,0.006,0.006,0.001,9906.21,"(8.37e+03,1.05e+04]",9.20091711219665,"(7.74,9.26]",0.03249,38973.28122,"(3.12e+04,3.9e+04]"
7.02,376,0.018,0.002,0.003,0.001,9913.23,"(8.37e+03,1.05e+04]",9.20162550761989,"(7.74,9.26]",0.12636,38973.40758,"(3.12e+04,3.9e+04]"
3.42,519,0.018,0.005,0.008,0.001,9916.65,"(8.37e+03,1.05e+04]",9.20197044163199,"(7.74,9.26]",0.06156,38973.46914,"(3.12e+04,3.9e+04]"
3.42,780,0.018,0.006,0.003,0.001,9920.07,"(8.37e+03,1.05e+04]",9.20231525670563,"(7.74,9.26]",0.06156,38973.5307,"(3.12e+04,3.9e+04]"
1.17,944,0.018,0.003,0.003,0.001,9921.24,"(8.37e+03,1.05e+04]",9.20243319246707,"(7.74,9.26]",0.02106,38973.55176,"(3.12e+04,3.9e+04]"
8.28,379,0.017,0.002,0.003,0.001,9929.52,"(8.37e+03,1.05e+04]",9.2032674175023,"(7.74,9.26]",0.14076,38973.69252,"(3.12e+04,3.9e+04]"
6.03,446,0.017,0.006,0.002,0.001,9935.55,"(8.37e+03,1.05e+04]",9.20387451329257,"(7.74,9.26]",0.10251,38973.79503,"(3.12e+04,3.9e+04]"
0.63,689,0.017,0.002,0.004,0.001,9936.18,"(8.37e+03,1.05e+04]",9.2039379199512,"(7.74,9.26]",0.01071,38973.80574,"(3.12e+04,3.9e+04]"
3.06,913,0.017,0.006,0.003,0.001,9939.24,"(8.37e+03,1.05e+04]",9.20424583797499,"(7.74,9.26]",0.05202,38973.85776,"(3.12e+04,3.9e+04]"
3.42,980,0.017,0.004,0.004,0.001,9942.66,"(8.37e+03,1.05e+04]",9.20458986948442,"(7.74,9.26]",0.05814,38973.9159,"(3.12e+04,3.9e+04]"
1.35,934,0.016,0.004,0.004,0.001,9944.01,"(8.37e+03,1.05e+04]",9.20472563882158,"(7.74,9.26]",0.0216,38973.9375,"(3.12e+04,3.9e+04]"
3.24,1069,0.015,0.005,0.002,0.001,9947.25,"(8.37e+03,1.05e+04]",9.20505141004257,"(7.74,9.26]",0.0486,38973.9861,"(3.12e+04,3.9e+04]"
0.09,12,0.015,0.004,0.004,0,9947.34,"(8.37e+03,1.05e+04]",9.2050604577284,"(7.74,9.26]",0.00135,38973.98745,"(3.12e+04,3.9e+04]"
5.4,31,0.015,0.002,0.002,0.001,9952.74,"(8.37e+03,1.05e+04]",9.20560316912781,"(7.74,9.26]",0.081,38974.06845,"(3.12e+04,3.9e+04]"
0.18,950,0.015,0.005,0.006,0.001,9952.92,"(8.37e+03,1.05e+04]",9.20562125443621,"(7.74,9.26]",0.0027,38974.07115,"(3.12e+04,3.9e+04]"
1.26,806,0.014,0.006,0.003,0.001,9954.18,"(8.37e+03,1.05e+04]",9.20574784243764,"(7.74,9.26]",0.01764,38974.08879,"(3.12e+04,3.9e+04]"
10.17,909,0.014,0.005,0.002,0.001,9964.35,"(8.37e+03,1.05e+04]",9.20676900222039,"(7.74,9.26]",0.14238,38974.23117,"(3.12e+04,3.9e+04]"
0.09,981,0.014,0.006,0.006,0.001,9964.44,"(8.37e+03,1.05e+04]",9.20677803437939,"(7.74,9.26]",0.00126,38974.23243,"(3.12e+04,3.9e+04]"
0.36,161,0.013,0.008,0.004,0.001,9964.8,"(8.37e+03,1.05e+04]",9.20681416219962,"(7.74,9.26]",0.00468,38974.23711,"(3.12e+04,3.9e+04]"
3.69,658,0.013,0.003,0.002,0.001,9968.49,"(8.37e+03,1.05e+04]",9.20718439712242,"(7.74,9.26]",0.04797,38974.28508,"(3.12e+04,3.9e+04]"
2.16,714,0.013,0.003,0.003,0.001,9970.65,"(8.37e+03,1.05e+04]",9.2074010564175,"(7.74,9.26]",0.02808,38974.31316,"(3.12e+04,3.9e+04]"
0.72,809,0.013,0.005,0.004,0.001,9971.37,"(8.37e+03,1.05e+04]",9.2074732657524,"(7.74,9.26]",0.00936,38974.32252,"(3.12e+04,3.9e+04]"
0.18,945,0.013,0.003,0.005,0.001,9971.55,"(8.37e+03,1.05e+04]",9.20749131727143,"(7.74,9.26]",0.00234,38974.32486,"(3.12e+04,3.9e+04]"
2.88,948,0.013,0.004,0.003,0.001,9974.43,"(8.37e+03,1.05e+04]",9.20778009726821,"(7.74,9.26]",0.03744,38974.3623,"(3.12e+04,3.9e+04]"
5.4,974,0.013,0.005,0.003,0.001,9979.83,"(8.37e+03,1.05e+04]",9.20832133509229,"(7.74,9.26]",0.0702,38974.4325,"(3.12e+04,3.9e+04]"
1.35,170,0.012,0.005,0.004,0.001,9981.18,"(8.37e+03,1.05e+04]",9.20845659878908,"(7.74,9.26]",0.0162,38974.4487,"(3.12e+04,3.9e+04]"
0.27,378,0.012,0.004,0.006,0.001,9981.45,"(8.37e+03,1.05e+04]",9.20848364933302,"(7.74,9.26]",0.00324,38974.45194,"(3.12e+04,3.9e+04]"
16.38,610,0.012,0.006,0.002,0.001,9997.83,"(8.37e+03,1.05e+04]",9.21012334842828,"(7.74,9.26]",0.19656,38974.6485,"(3.12e+04,3.9e+04]"
0.81,783,0.012,0.004,0.003,0.001,9998.64,"(8.37e+03,1.05e+04]",9.21020436272734,"(7.74,9.26]",0.00972,38974.65822,"(3.12e+04,3.9e+04]"
0.54,803,0.012,0.005,0.004,0.001,9999.18,"(8.37e+03,1.05e+04]",9.210258368614,"(7.74,9.26]",0.00648,38974.6647,"(3.12e+04,3.9e+04]"
1.71,987,0.012,0.005,0.005,0.001,10000.89,"(8.37e+03,1.05e+04]",9.21042936801592,"(7.74,9.26]",0.02052,38974.68522,"(3.12e+04,3.9e+04]"
14.13,1054,0.011,0.004,0.002,0.001,10015.02,"(8.37e+03,1.05e+04]",9.21184124510242,"(7.74,9.26]",0.15543,38974.84065,"(3.12e+04,3.9e+04]"
5.67,1089,0.011,0.004,0.002,0.001,10020.69,"(8.37e+03,1.05e+04]",9.21240723454341,"(7.74,9.26]",0.06237,38974.90302,"(3.12e+04,3.9e+04]"
4.14,445,0.011,0.006,0.002,0.001,10024.83,"(8.37e+03,1.05e+04]",9.212820294425,"(7.74,9.26]",0.04554,38974.94856,"(3.12e+04,3.9e+04]"
4.95,694,0.011,0.002,0.006,0.001,10029.78,"(8.37e+03,1.05e+04]",9.21331394651802,"(7.74,9.26]",0.05445,38975.00301,"(3.12e+04,3.9e+04]"
1.44,534,0.01,0.003,0.003,0.001,10031.22,"(8.37e+03,1.05e+04]",9.21345750865375,"(7.74,9.26]",0.0144,38975.01741,"(3.12e+04,3.9e+04]"
5.31,662,0.01,0.008,0.003,0.001,10036.53,"(8.37e+03,1.05e+04]",9.21398671597634,"(7.74,9.26]",0.0531,38975.07051,"(3.12e+04,3.9e+04]"
1.26,903,0.01,0.004,0.003,0.001,10037.79,"(8.37e+03,1.05e+04]",9.21411224949395,"(7.74,9.26]",0.0126,38975.08311,"(3.12e+04,3.9e+04]"
2.52,695,0.009,0.001,0.007,0.001,10040.31,"(8.37e+03,1.05e+04]",9.21436326926307,"(7.74,9.26]",0.02268,38975.10579,"(3.12e+04,3.9e+04]"
6.48,904,0.009,0.005,0.003,0.001,10046.79,"(8.37e+03,1.05e+04]",9.21500845948215,"(7.74,9.26]",0.05832,38975.16411,"(3.12e+04,3.9e+04]"
4.86,986,0.009,0.003,0.003,0.001,10051.65,"(8.37e+03,1.05e+04]",9.21549207911579,"(7.74,9.26]",0.04374,38975.20785,"(3.12e+04,3.9e+04]"
1.8,1001,0.008,0.004,0.003,0.001,10053.45,"(8.37e+03,1.05e+04]",9.21567113816098,"(7.74,9.26]",0.0144,38975.22225,"(3.12e+04,3.9e+04]"
2.16,169,0.008,0.003,0.004,0.001,10055.61,"(8.37e+03,1.05e+04]",9.21588596670178,"(7.74,9.26]",0.01728,38975.23953,"(3.12e+04,3.9e+04]"
0.36,197,0.008,0.005,0.004,0.001,10055.97,"(8.37e+03,1.05e+04]",9.21592176697208,"(7.74,9.26]",0.00288,38975.24241,"(3.12e+04,3.9e+04]"
0.45,562,0.008,0.008,0.003,0.001,10056.42,"(8.37e+03,1.05e+04]",9.21596651550769,"(7.74,9.26]",0.0036,38975.24601,"(3.12e+04,3.9e+04]"
4.32,638,0.008,0.007,0.002,0.001,10060.74,"(8.37e+03,1.05e+04]",9.21639599959654,"(7.74,9.26]",0.03456,38975.28057,"(3.12e+04,3.9e+04]"
0.18,721,0.008,0.007,0.002,0.001,10060.92,"(8.37e+03,1.05e+04]",9.21641389076456,"(7.74,9.26]",0.00144,38975.28201,"(3.12e+04,3.9e+04]"
1.8,798,0.008,0.006,0.003,0.001,10062.72,"(8.37e+03,1.05e+04]",9.21659278484186,"(7.74,9.26]",0.0144,38975.29641,"(3.12e+04,3.9e+04]"
2.43,80,0.008,0.004,0.002,0.001,10065.15,"(8.37e+03,1.05e+04]",9.2168342410925,"(7.74,9.26]",0.01944,38975.31585,"(3.12e+04,3.9e+04]"
0.27,843,0.008,0.004,0.004,0.001,10065.42,"(8.37e+03,1.05e+04]",9.21686106596631,"(7.74,9.26]",0.00216,38975.31801,"(3.12e+04,3.9e+04]"
1.08,917,0.008,0.005,0.003,0.001,10066.5,"(8.37e+03,1.05e+04]",9.2169683582664,"(7.74,9.26]",0.00864,38975.32665,"(3.12e+04,3.9e+04]"
3.6,1014,0.007,0.004,0.003,0.001,10070.1,"(8.37e+03,1.05e+04]",9.21732591614989,"(7.74,9.26]",0.0252,38975.35185,"(3.12e+04,3.9e+04]"
2.7,1040,0.007,0.003,0.002,0.001,10072.8,"(8.37e+03,1.05e+04]",9.21759400068749,"(7.74,9.26]",0.0189,38975.37075,"(3.12e+04,3.9e+04]"
0.36,358,0.007,0.005,0.003,0.001,10073.16,"(8.37e+03,1.05e+04]",9.21762973986299,"(7.74,9.26]",0.00252,38975.37327,"(3.12e+04,3.9e+04]"
0.81,451,0.007,0.005,0.002,0.001,10073.97,"(8.37e+03,1.05e+04]",9.21771014833809,"(7.74,9.26]",0.00567,38975.37894,"(3.12e+04,3.9e+04]"
12.78,476,0.007,0.003,0.002,0.001,10086.75,"(8.37e+03,1.05e+04]",9.21897796037177,"(7.74,9.26]",0.08946,38975.4684,"(3.12e+04,3.9e+04]"
1.62,492,0.007,0.005,0.002,0.001,10088.37,"(8.37e+03,1.05e+04]",9.21913855421245,"(7.74,9.26]",0.01134,38975.47974,"(3.12e+04,3.9e+04]"
0.36,528,0.007,0.006,0.003,0.001,10088.73,"(8.37e+03,1.05e+04]",9.21917423823047,"(7.74,9.26]",0.00252,38975.48226,"(3.12e+04,3.9e+04]"
0.27,557,0.007,0.003,0.003,0.001,10089,"(8.37e+03,1.05e+04]",9.21920100040838,"(7.74,9.26]",0.00189,38975.48415,"(3.12e+04,3.9e+04]"
0.81,579,0.007,0.003,0.002,0.001,10089.81,"(8.37e+03,1.05e+04]",9.21928128264508,"(7.74,9.26]",0.00567,38975.48982,"(3.12e+04,3.9e+04]"
0.63,582,0.007,0.008,0.003,0.001,10090.44,"(8.37e+03,1.05e+04]",9.21934371992908,"(7.74,9.26]",0.00441,38975.49423,"(3.12e+04,3.9e+04]"
10.26,588,0.007,0.005,0.002,0.001,10100.7,"(8.37e+03,1.05e+04]",9.22036000735843,"(7.74,9.26]",0.07182,38975.56605,"(3.12e+04,3.9e+04]"
0.9,645,0.007,0.005,0.003,0.001,10101.6,"(8.37e+03,1.05e+04]",9.22044910612447,"(7.74,9.26]",0.0063,38975.57235,"(3.12e+04,3.9e+04]"
0.81,711,0.007,0.004,0.003,0.001,10102.41,"(8.37e+03,1.05e+04]",9.22052928822698,"(7.74,9.26]",0.00567,38975.57802,"(3.12e+04,3.9e+04]"
0.9,733,0.007,0.007,0.003,0.001,10103.31,"(8.37e+03,1.05e+04]",9.22061837191225,"(7.74,9.26]",0.0063,38975.58432,"(3.12e+04,3.9e+04]"
1.08,835,0.007,0.006,0.003,0.001,10104.39,"(8.37e+03,1.05e+04]",9.22072526186024,"(7.74,9.26]",0.00756,38975.59188,"(3.12e+04,3.9e+04]"
0.63,857,0.007,0.004,0.004,0.001,10105.02,"(8.37e+03,1.05e+04]",9.22078760905397,"(7.74,9.26]",0.00441,38975.59629,"(3.12e+04,3.9e+04]"
1.44,858,0.007,0.006,0.003,0.001,10106.46,"(8.37e+03,1.05e+04]",9.22093010233031,"(7.74,9.26]",0.01008,38975.60637,"(3.12e+04,3.9e+04]"
0.9,862,0.007,0.007,0.003,0.001,10107.36,"(8.37e+03,1.05e+04]",9.22101915031833,"(7.74,9.26]",0.0063,38975.61267,"(3.12e+04,3.9e+04]"
1.35,863,0.007,0.003,0.003,0.001,10108.71,"(8.37e+03,1.05e+04]",9.22115270743423,"(7.74,9.26]",0.00945,38975.62212,"(3.12e+04,3.9e+04]"
2.25,871,0.007,0.006,0.003,0.001,10110.96,"(8.37e+03,1.05e+04]",9.22137526299614,"(7.74,9.26]",0.01575,38975.63787,"(3.12e+04,3.9e+04]"
0.63,910,0.007,0.006,0.003,0.001,10111.59,"(8.37e+03,1.05e+04]",9.22143756967856,"(7.74,9.26]",0.00441,38975.64228,"(3.12e+04,3.9e+04]"
7.65,923,0.007,0.005,0.002,0.001,10119.24,"(8.37e+03,1.05e+04]",9.22219384120717,"(7.74,9.26]",0.05355,38975.69583,"(3.12e+04,3.9e+04]"
0.54,94,0.007,0.006,0.003,0.001,10119.78,"(8.37e+03,1.05e+04]",9.22224720347472,"(7.74,9.26]",0.00378,38975.69961,"(3.12e+04,3.9e+04]"
0.27,1012,0.006,0.004,0.003,0.001,10120.05,"(8.37e+03,1.05e+04]",9.22227388354071,"(7.74,9.26]",0.00162,38975.70123,"(3.12e+04,3.9e+04]"
0.99,1074,0.006,0.003,0.002,0.001,10121.04,"(8.37e+03,1.05e+04]",9.22237170435973,"(7.74,9.26]",0.00594,38975.70717,"(3.12e+04,3.9e+04]"
0.27,1108,0.006,0.005,0.002,0.001,10121.31,"(8.37e+03,1.05e+04]",9.22239838110428,"(7.74,9.26]",0.00162,38975.70879,"(3.12e+04,3.9e+04]"
2.43,1117,0.006,0.003,0.002,0.001,10123.74,"(8.37e+03,1.05e+04]",9.22263843978644,"(7.74,9.26]",0.01458,38975.72337,"(3.12e+04,3.9e+04]"
1.53,1137,0.006,0.003,0.002,0.001,10125.27,"(8.37e+03,1.05e+04]",9.22278955828586,"(7.74,9.26]",0.00918,38975.73255,"(3.12e+04,3.9e+04]"
0.18,1140,0.006,0.006,0.002,0.001,10125.45,"(8.37e+03,1.05e+04]",9.22280733543156,"(7.74,9.26]",0.00108,38975.73363,"(3.12e+04,3.9e+04]"
1.44,1159,0.006,0.003,0.002,0.001,10126.89,"(8.37e+03,1.05e+04]",9.22294954122135,"(7.74,9.26]",0.00864,38975.74227,"(3.12e+04,3.9e+04]"
3.69,164,0.006,0.004,0.003,0.001,10130.58,"(8.37e+03,1.05e+04]",9.22331385127989,"(7.74,9.26]",0.02214,38975.76441,"(3.12e+04,3.9e+04]"
0.18,222,0.006,0.005,0.002,0.001,10130.76,"(8.37e+03,1.05e+04]",9.22333161910769,"(7.74,9.26]",0.00108,38975.76549,"(3.12e+04,3.9e+04]"
3.87,261,0.006,0.005,0.002,0.001,10134.63,"(8.37e+03,1.05e+04]",9.22371355106627,"(7.74,9.26]",0.02322,38975.78871,"(3.12e+04,3.9e+04]"
