log_int,area_ha,CT_t_ha1,MT_t_ha1,NT_t_ha1,grass_t_ha1
"[1.69,3.2]",18.09,39.3525,16.2025,10.8035,0.122
"(3.2,4.71]",83.79,29.70975,8.949,4.10375,0.13675
"(4.71,6.23]",395.91,20.3820571428571,5.58082857142857,1.64297142857143,0.134314285714286
"(6.23,7.74]",1782.81,8.53975352112676,1.50576056338028,0.447901408450704,0.0135633802816901
"(7.74,9.26]",8181.63,1.02652565343659,0.0734027105517909,0.0198760890609874,0.00105421103581801
